run_name,group,config_path,seed,method_tags,expected_epochs,priority,execution_mode
proto_natural_es40_seed1,proto,configs/scene31/baseline_pack/proto_natural_es40_seed1.yaml,1,"proto,natural,es40",40,high,train
proto_randomdrop_bernoulli_k075_es40_seed1,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_bernoulli_k075_es40_seed1.yaml,1,"proto,randomdrop_bernoulli,keep_prob_0.75,es40",40,high,train
proto_randomdrop_subset_es40_seed1,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_subset_es40_seed1.yaml,1,"proto,randomdrop_subset,es40",40,high,train
proto_natural_es40_seed2,proto,configs/scene31/baseline_pack/proto_natural_es40_seed2.yaml,2,"proto,natural,es40",40,high,train
proto_randomdrop_bernoulli_k075_es40_seed2,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_bernoulli_k075_es40_seed2.yaml,2,"proto,randomdrop_bernoulli,keep_prob_0.75,es40",40,high,train
proto_randomdrop_subset_es40_seed2,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_subset_es40_seed2.yaml,2,"proto,randomdrop_subset,es40",40,high,train
proto_natural_es40_seed3,proto,configs/scene31/baseline_pack/proto_natural_es40_seed3.yaml,3,"proto,natural,es40",40,high,train
proto_randomdrop_bernoulli_k075_es40_seed3,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_bernoulli_k075_es40_seed3.yaml,3,"proto,randomdrop_bernoulli,keep_prob_0.75,es40",40,high,train
proto_randomdrop_subset_es40_seed3,randomdrop,configs/scene31/baseline_pack/proto_randomdrop_subset_es40_seed3.yaml,3,"proto,randomdrop_subset,es40",40,high,train
amr_lite_natural_es40_seed1,amr_lite,configs/scene31/baseline_pack/amr_lite_natural_es40_seed1.yaml,1,"amr_lite,natural,local_experimental_baseline,es40",40,high,train
amr_lite_uniform_es40_seed1,amr_lite,configs/scene31/baseline_pack/amr_lite_uniform_es40_seed1.yaml,1,"amr_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
amr_lite_natural_es40_seed2,amr_lite,configs/scene31/baseline_pack/amr_lite_natural_es40_seed2.yaml,2,"amr_lite,natural,local_experimental_baseline,es40",40,high,train
amr_lite_uniform_es40_seed2,amr_lite,configs/scene31/baseline_pack/amr_lite_uniform_es40_seed2.yaml,2,"amr_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
amr_lite_natural_es40_seed3,amr_lite,configs/scene31/baseline_pack/amr_lite_natural_es40_seed3.yaml,3,"amr_lite,natural,local_experimental_baseline,es40",40,high,train
amr_lite_uniform_es40_seed3,amr_lite,configs/scene31/baseline_pack/amr_lite_uniform_es40_seed3.yaml,3,"amr_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
amber_lite_natural_es40_seed1,amber_lite,configs/scene31/baseline_pack/amber_lite_natural_es40_seed1.yaml,1,"amber_lite,natural,local_experimental_baseline,es40",40,high,train
amber_lite_uniform_es40_seed1,amber_lite,configs/scene31/baseline_pack/amber_lite_uniform_es40_seed1.yaml,1,"amber_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
amber_lite_natural_es40_seed2,amber_lite,configs/scene31/baseline_pack/amber_lite_natural_es40_seed2.yaml,2,"amber_lite,natural,local_experimental_baseline,es40",40,high,train
amber_lite_uniform_es40_seed2,amber_lite,configs/scene31/baseline_pack/amber_lite_uniform_es40_seed2.yaml,2,"amber_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
amber_lite_natural_es40_seed3,amber_lite,configs/scene31/baseline_pack/amber_lite_natural_es40_seed3.yaml,3,"amber_lite,natural,local_experimental_baseline,es40",40,high,train
amber_lite_uniform_es40_seed3,amber_lite,configs/scene31/baseline_pack/amber_lite_uniform_es40_seed3.yaml,3,"amber_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,high,train
featuremod_lite_uniform_es40_seed1,featuremod,configs/scene31/baseline_pack/featuremod_lite_uniform_es40_seed1.yaml,1,"featuremod_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,medium,train
featuremod_lite_uniform_es40_seed2,featuremod,configs/scene31/baseline_pack/featuremod_lite_uniform_es40_seed2.yaml,2,"featuremod_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,medium,train
featuremod_lite_uniform_es40_seed3,featuremod,configs/scene31/baseline_pack/featuremod_lite_uniform_es40_seed3.yaml,3,"featuremod_lite,pattern_balanced_uniform,local_experimental_baseline,es40",40,medium,train
