run_name,group,config_path,seed,method_tags,expected_epochs,priority,execution_mode
checkpoint_selection_uniform_all_available,selection,,,checkpoint_selection,40,high,selection
checkpoint_selection_jtt_all_available,selection,,,checkpoint_selection,40,high,selection
checkpoint_selection_mpdro_all_available,selection,,,checkpoint_selection,40,high,selection
proto_sampler_uniform_jtt_sample_replay_es40_seed3,jtt,configs/scene31/funnel/proto_sampler_uniform_jtt_sample_replay_es40_seed3.yaml,3,"jtt_sample_replay,sample_level_baseline,es40",40,high,train
proto_sampler_uniform_jtt_sample_replay_es40_seed4,jtt,configs/scene31/funnel/proto_sampler_uniform_jtt_sample_replay_es40_seed4.yaml,4,"jtt_sample_replay,sample_level_baseline,es40",40,high,train
proto_sampler_uniform_jtt_sample_replay_es40_seed5,jtt,configs/scene31/funnel/proto_sampler_uniform_jtt_sample_replay_es40_seed5.yaml,5,"jtt_sample_replay,sample_level_baseline,es40",40,high,train
proto_sampler_uniform_mvfr_score_es40_seed1,mvfr,configs/scene31/funnel/proto_sampler_uniform_mvfr_score_es40_seed1.yaml,1,"mvfr,missing_view_failure_replay,quick_strict_pending,es40",40,high,train
proto_sampler_uniform_mvfr_score_es40_seed2,mvfr,configs/scene31/funnel/proto_sampler_uniform_mvfr_score_es40_seed2.yaml,2,"mvfr,missing_view_failure_replay,quick_strict_pending,es40",40,high,train
proto_sampler_uniform_mvfr_score_es40_seed3,mvfr,configs/scene31/funnel/proto_sampler_uniform_mvfr_score_es40_seed3.yaml,3,"mvfr,missing_view_failure_replay,quick_strict_pending,es40",40,high,train
proto_uniform_mpdro_tau2_lam025_es40_seed1,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam025_es40_seed1.yaml,1,"mpdro,tau_2,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau2_lam025_es40_seed2,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam025_es40_seed2.yaml,2,"mpdro,tau_2,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau2_lam025_es40_seed3,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam025_es40_seed3.yaml,3,"mpdro,tau_2,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau4_lam025_es40_seed1,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau4_lam025_es40_seed1.yaml,1,"mpdro,tau_4,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau4_lam025_es40_seed2,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau4_lam025_es40_seed2.yaml,2,"mpdro,tau_4,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau4_lam025_es40_seed3,mild_mpdro_p0,configs/scene31/funnel/proto_uniform_mpdro_tau4_lam025_es40_seed3.yaml,3,"mpdro,tau_4,lambda_0.25,mild,es40",40,high,train
proto_uniform_mpdro_tau2_lam05_es40_seed1,mild_mpdro_p1,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam05_es40_seed1.yaml,1,"mpdro,tau_2,lambda_0.5,mild,es40",40,medium,train
proto_uniform_mpdro_tau2_lam05_es40_seed2,mild_mpdro_p1,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam05_es40_seed2.yaml,2,"mpdro,tau_2,lambda_0.5,mild,es40",40,medium,train
proto_uniform_mpdro_tau2_lam05_es40_seed3,mild_mpdro_p1,configs/scene31/funnel/proto_uniform_mpdro_tau2_lam05_es40_seed3.yaml,3,"mpdro,tau_2,lambda_0.5,mild,es40",40,medium,train
proto_uniform_pattern_logit_bias_seed1,quick,configs/scene31/funnel/proto_uniform_pattern_logit_bias_seed1.yaml,1,"quick_screen,pattern_logit_bias,posthoc",40,medium,posthoc
proto_sampler_uniform_modbias_entropy_lam001_es40_seed1,quick,configs/scene31/funnel/proto_sampler_uniform_modbias_entropy_lam001_es40_seed1.yaml,1,"quick_screen,modality_bias,entropy_balance,lambda_0.01",40,medium,train
proto_sampler_uniform_pattern_film_d8_es40_seed1,quick,configs/scene31/funnel/proto_sampler_uniform_pattern_film_d8_es40_seed1.yaml,1,"quick_screen,pattern_film,d8",40,medium,train
proto_sampler_uniform_pattern_film_d16_es40_seed1,quick,configs/scene31/funnel/proto_sampler_uniform_pattern_film_d16_es40_seed1.yaml,1,"quick_screen,pattern_film,d16",40,medium,train
proto_uniform_tta_entropy_bn_seed1,quick,configs/scene31/funnel/proto_uniform_tta_entropy_bn_seed1.yaml,1,"quick_screen,tta,entropy_bn",40,medium,eval
proto_uniform_pbpr_fixed_seed1,quick,configs/scene31/funnel/proto_uniform_pbpr_fixed_seed1.yaml,1,"quick_screen,pbpr_fixed,sanity_fixed",40,medium,posthoc
