run_name,group,config_path,seed,method_tags,expected_epochs,priority
proto_sampler_uniform_es40_seed1,uniform,configs/scene31/magic_overnight/proto_sampler_uniform_es40_seed1.yaml,1,"sampler,uniform,es40",40,high
proto_sampler_uniform_jtt_sample_replay_es40_seed1,mpfr_baseline,configs/scene31/magic_overnight/proto_sampler_uniform_jtt_sample_replay_es40_seed1.yaml,1,"jtt_sample_replay,overnight_proxy,sample_level_baseline,es40",40,medium
proto_uniform_lastlayer_retrain_es40_seed1,pbpr_baseline,configs/scene31/magic_overnight/proto_uniform_lastlayer_retrain_es40_seed1.yaml,1,"lastlayer_retrain,overnight_proxy,pbpr_baseline,es40",40,medium
proto_uniform_groupdro_vanilla_es40_seed1,mpdro_baseline,configs/scene31/magic_overnight/proto_uniform_groupdro_vanilla_es40_seed1.yaml,1,"groupdro,vanilla,overnight_proxy,es40",40,medium
proto_sampler_uniform_es40_seed2,uniform,configs/scene31/magic_overnight/proto_sampler_uniform_es40_seed2.yaml,2,"sampler,uniform,es40",40,high
proto_sampler_uniform_jtt_sample_replay_es40_seed2,mpfr_baseline,configs/scene31/magic_overnight/proto_sampler_uniform_jtt_sample_replay_es40_seed2.yaml,2,"jtt_sample_replay,overnight_proxy,sample_level_baseline,es40",40,medium
proto_uniform_lastlayer_retrain_es40_seed2,pbpr_baseline,configs/scene31/magic_overnight/proto_uniform_lastlayer_retrain_es40_seed2.yaml,2,"lastlayer_retrain,overnight_proxy,pbpr_baseline,es40",40,medium
proto_uniform_groupdro_vanilla_es40_seed2,mpdro_baseline,configs/scene31/magic_overnight/proto_uniform_groupdro_vanilla_es40_seed2.yaml,2,"groupdro,vanilla,overnight_proxy,es40",40,medium
proto_sampler_uniform_mpfr_es40_seed1,mpfr,configs/scene31/magic_overnight/proto_sampler_uniform_mpfr_es40_seed1.yaml,1,"mpfr,missing_pattern_failure_replay,overnight_proxy,es40",40,high
proto_uniform_pattern_proto_recenter_es40_seed1,pbpr,configs/scene31/magic_overnight/proto_uniform_pattern_proto_recenter_es40_seed1.yaml,1,"pbpr,pattern_balanced_proto,overnight_proxy,es40",40,high
proto_uniform_mpdro_tau1_es40_seed1,mpdro,configs/scene31/magic_overnight/proto_uniform_mpdro_tau1_es40_seed1.yaml,1,"mpdro,tau_1.0,missing_pattern_dro,es40",40,high
proto_sampler_uniform_mpfr_es40_seed2,mpfr,configs/scene31/magic_overnight/proto_sampler_uniform_mpfr_es40_seed2.yaml,2,"mpfr,missing_pattern_failure_replay,overnight_proxy,es40",40,high
proto_uniform_pattern_proto_recenter_es40_seed2,pbpr,configs/scene31/magic_overnight/proto_uniform_pattern_proto_recenter_es40_seed2.yaml,2,"pbpr,pattern_balanced_proto,overnight_proxy,es40",40,high
proto_uniform_mpdro_tau1_es40_seed2,mpdro,configs/scene31/magic_overnight/proto_uniform_mpdro_tau1_es40_seed2.yaml,2,"mpdro,tau_1.0,missing_pattern_dro,es40",40,high
proto_sampler_uniform_mpfr_es40_seed3,mpfr,configs/scene31/magic_overnight/proto_sampler_uniform_mpfr_es40_seed3.yaml,3,"mpfr,missing_pattern_failure_replay,overnight_proxy,es40",40,high
proto_uniform_pattern_proto_recenter_es40_seed3,pbpr,configs/scene31/magic_overnight/proto_uniform_pattern_proto_recenter_es40_seed3.yaml,3,"pbpr,pattern_balanced_proto,overnight_proxy,es40",40,high
proto_uniform_mpdro_tau1_es40_seed3,mpdro,configs/scene31/magic_overnight/proto_uniform_mpdro_tau1_es40_seed3.yaml,3,"mpdro,tau_1.0,missing_pattern_dro,es40",40,high
