run_name,group,config_path,seed,method_tags,expected_epochs,priority
proto_sampler_uniform_es40_seed3,p0,configs/scene31/next_round/proto_sampler_uniform_es40_seed3.yaml,3,"sampler,uniform,es40",40,high
proto_condbtapa_weaksingle_lam005_es40_seed3,p0,configs/scene31/next_round/proto_condbtapa_weaksingle_lam005_es40_seed3.yaml,3,"condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_es40_seed4,p0,configs/scene31/next_round/proto_sampler_uniform_es40_seed4.yaml,4,"sampler,uniform,es40",40,high
proto_condbtapa_weaksingle_lam005_es40_seed4,p0,configs/scene31/next_round/proto_condbtapa_weaksingle_lam005_es40_seed4.yaml,4,"condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_es40_seed5,p0,configs/scene31/next_round/proto_sampler_uniform_es40_seed5.yaml,5,"sampler,uniform,es40",40,high
proto_condbtapa_weaksingle_lam005_es40_seed5,p0,configs/scene31/next_round/proto_condbtapa_weaksingle_lam005_es40_seed5.yaml,5,"condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed1,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed1.yaml,1,"sampler,uniform,condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed2,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed2.yaml,2,"sampler,uniform,condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed3,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam005_es40_seed3.yaml,3,"sampler,uniform,condbtapa,weak_single,lambda_0.05,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed1,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed1.yaml,1,"sampler,uniform,condbtapa,weak_single,lambda_0.025,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed2,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed2.yaml,2,"sampler,uniform,condbtapa,weak_single,lambda_0.025,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed3,p0,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam0025_es40_seed3.yaml,3,"sampler,uniform,condbtapa,weak_single,lambda_0.025,es40",40,high
proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed1,p0_optional,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed1.yaml,1,"sampler,uniform,condbtapa,weak_single,lambda_0.01,es40",40,optional
proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed2,p0_optional,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed2.yaml,2,"sampler,uniform,condbtapa,weak_single,lambda_0.01,es40",40,optional
proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed3,p0_optional,configs/scene31/next_round/proto_sampler_uniform_condbtapa_weaksingle_lam001_es40_seed3.yaml,3,"sampler,uniform,condbtapa,weak_single,lambda_0.01,es40",40,optional
proto_sampler_adaptive_gap_a05_t1_es40_seed1,b_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_es40_seed1.yaml,1,"sampler,adaptive,gap_to_full,a0.5,t1.0,es40",40,high
proto_sampler_uniform_beamsoft_s15_mix05_es40_seed1,c_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s15_mix05_es40_seed1.yaml,1,"sampler,uniform,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_uniform_labelsmooth005_es40_seed1,c_p0,configs/scene31/next_round/proto_sampler_uniform_labelsmooth005_es40_seed1.yaml,1,"sampler,uniform,label_smoothing,smoothing_0.05,es40",40,high
proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed1,bc_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed1.yaml,1,"sampler,adaptive,gap_to_full,a0.5,t1.0,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_adaptive_loss_a05_t1_es40_seed1,b_p1,configs/scene31/next_round/proto_sampler_adaptive_loss_a05_t1_es40_seed1.yaml,1,"sampler,adaptive,loss,a0.5,t1.0,es40",40,medium
proto_sampler_adaptive_gap_a03_t1_es40_seed1,b_p1,configs/scene31/next_round/proto_sampler_adaptive_gap_a03_t1_es40_seed1.yaml,1,"sampler,adaptive,gap_to_full,a0.3,t1.0,es40",40,optional
proto_sampler_uniform_beamsoft_s10_mix05_es40_seed1,c_p1,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s10_mix05_es40_seed1.yaml,1,"sampler,uniform,beamsoft,sigma_1,mix_0.5,es40",40,medium
proto_sampler_uniform_beamsoft_s20_mix05_es40_seed1,c_p1,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s20_mix05_es40_seed1.yaml,1,"sampler,uniform,beamsoft,sigma_2,mix_0.5,es40",40,medium
proto_sampler_uniform_beamsoft_s10_mix025_es40_seed1,beamsoft_weak_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s10_mix025_es40_seed1.yaml,1,"sampler,uniform,beamsoft,sigma_1,mix_0.25,es40",40,high
proto_sampler_uniform_beamsoft_s15_mix025_es40_seed1,beamsoft_weak_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s15_mix025_es40_seed1.yaml,1,"sampler,uniform,beamsoft,sigma_1.5,mix_0.25,es40",40,high
proto_sampler_adaptive_gap_a05_t1_es40_seed2,b_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_es40_seed2.yaml,2,"sampler,adaptive,gap_to_full,a0.5,t1.0,es40",40,high
proto_sampler_uniform_beamsoft_s15_mix05_es40_seed2,c_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s15_mix05_es40_seed2.yaml,2,"sampler,uniform,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_uniform_labelsmooth005_es40_seed2,c_p0,configs/scene31/next_round/proto_sampler_uniform_labelsmooth005_es40_seed2.yaml,2,"sampler,uniform,label_smoothing,smoothing_0.05,es40",40,high
proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed2,bc_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed2.yaml,2,"sampler,adaptive,gap_to_full,a0.5,t1.0,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_adaptive_loss_a05_t1_es40_seed2,b_p1,configs/scene31/next_round/proto_sampler_adaptive_loss_a05_t1_es40_seed2.yaml,2,"sampler,adaptive,loss,a0.5,t1.0,es40",40,medium
proto_sampler_adaptive_gap_a03_t1_es40_seed2,b_p1,configs/scene31/next_round/proto_sampler_adaptive_gap_a03_t1_es40_seed2.yaml,2,"sampler,adaptive,gap_to_full,a0.3,t1.0,es40",40,optional
proto_sampler_uniform_beamsoft_s10_mix05_es40_seed2,c_p1,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s10_mix05_es40_seed2.yaml,2,"sampler,uniform,beamsoft,sigma_1,mix_0.5,es40",40,medium
proto_sampler_uniform_beamsoft_s20_mix05_es40_seed2,c_p1,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s20_mix05_es40_seed2.yaml,2,"sampler,uniform,beamsoft,sigma_2,mix_0.5,es40",40,medium
proto_sampler_uniform_beamsoft_s10_mix025_es40_seed2,beamsoft_weak_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s10_mix025_es40_seed2.yaml,2,"sampler,uniform,beamsoft,sigma_1,mix_0.25,es40",40,high
proto_sampler_uniform_beamsoft_s15_mix025_es40_seed2,beamsoft_weak_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s15_mix025_es40_seed2.yaml,2,"sampler,uniform,beamsoft,sigma_1.5,mix_0.25,es40",40,high
proto_sampler_adaptive_gap_a05_t1_es40_seed3,b_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_es40_seed3.yaml,3,"sampler,adaptive,gap_to_full,a0.5,t1.0,es40",40,high
proto_sampler_uniform_beamsoft_s15_mix05_es40_seed3,c_p0,configs/scene31/next_round/proto_sampler_uniform_beamsoft_s15_mix05_es40_seed3.yaml,3,"sampler,uniform,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_uniform_labelsmooth005_es40_seed3,c_p0,configs/scene31/next_round/proto_sampler_uniform_labelsmooth005_es40_seed3.yaml,3,"sampler,uniform,label_smoothing,smoothing_0.05,es40",40,high
proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed3,bc_p0,configs/scene31/next_round/proto_sampler_adaptive_gap_a05_t1_beamsoft_s15_mix05_es40_seed3.yaml,3,"sampler,adaptive,gap_to_full,a0.5,t1.0,beamsoft,sigma_1.5,mix_0.5,es40",40,high
proto_sampler_adaptive_loss_a05_t1_es40_seed3,b_p1,configs/scene31/next_round/proto_sampler_adaptive_loss_a05_t1_es40_seed3.yaml,3,"sampler,adaptive,loss,a0.5,t1.0,es40",40,medium
proto_sampler_adaptive_gap_a03_t1_es40_seed3,b_p1,configs/scene31/next_round/proto_sampler_adaptive_gap_a03_t1_es40_seed3.yaml,3,"sampler,adaptive,gap_to_full,a0.3,t1.0,es40",40,optional
