run_name,group,config_path,seed,method_tags,expected_epochs,priority
main_v3_strong_reliability_proto,baseline,configs/scene31/main_v3_strong_reliability_proto.yaml,1,proto,40,reference
main_v3_strong_reliability_proto_seed2,baseline,configs/scene31/main_v3_strong_reliability_proto_seed2.yaml,2,proto,40,reference
main_v3_strong_reliability_proto_seed3,baseline,configs/scene31/main_v3_strong_reliability_proto_seed3.yaml,3,proto,40,reference
main_v3_strong_reliability_btapa_tau1,baseline,configs/scene31/main_v3_strong_reliability_btapa_tau1.yaml,1,btapa_tau1,40,reference
main_v3_strong_reliability_btapa_tau1_seed2,baseline,configs/scene31/main_v3_strong_reliability_btapa_tau1_seed2.yaml,2,btapa_tau1,40,reference
main_v3_strong_reliability_btapa_tau1_seed3,baseline,configs/scene31/main_v3_strong_reliability_btapa_tau1_seed3.yaml,3,btapa_tau1,40,reference
proto_condbtapa_radaronly_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_radaronly_es20_seed1.yaml,1,"condbtapa,radar_only",20,high
proto_condbtapa_radaronly_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_radaronly_es20_seed2.yaml,2,"condbtapa,radar_only",20,high
proto_condbtapa_lidaronly_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_lidaronly_es20_seed1.yaml,1,"condbtapa,lidar_only",20,high
proto_condbtapa_lidaronly_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_lidaronly_es20_seed2.yaml,2,"condbtapa,lidar_only",20,high
proto_condbtapa_weaksingle_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_es20_seed1.yaml,1,"condbtapa,weak_single",20,high
proto_condbtapa_weaksingle_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_es20_seed2.yaml,2,"condbtapa,weak_single",20,high
proto_condbtapa_singleall_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_singleall_es20_seed1.yaml,1,"condbtapa,single_all",20,medium
proto_condbtapa_singleall_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_singleall_es20_seed2.yaml,2,"condbtapa,single_all",20,medium
proto_condbtapa_sensingonly_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_sensingonly_es20_seed1.yaml,1,"condbtapa,sensing_only",20,medium
proto_condbtapa_sensingonly_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_sensingonly_es20_seed2.yaml,2,"condbtapa,sensing_only",20,medium
proto_condbtapa_weaksingle_lam005_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_lam005_es20_seed1.yaml,1,"condbtapa,weak_single,lambda_0.05",20,medium
proto_condbtapa_weaksingle_lam005_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_lam005_es20_seed2.yaml,2,"condbtapa,weak_single,lambda_0.05",20,medium
proto_condbtapa_weaksingle_lam01_es20_seed1,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_lam01_es20_seed1.yaml,1,"condbtapa,weak_single,lambda_0.1",20,medium
proto_condbtapa_weaksingle_lam01_es20_seed2,A,configs/scene31/night_grid/proto_condbtapa_weaksingle_lam01_es20_seed2.yaml,2,"condbtapa,weak_single,lambda_0.1",20,medium
proto_sampler_uniform_es20_seed1,B,configs/scene31/night_grid/proto_sampler_uniform_es20_seed1.yaml,1,"sampler,uniform",20,high
proto_sampler_uniform_es20_seed2,B,configs/scene31/night_grid/proto_sampler_uniform_es20_seed2.yaml,2,"sampler,uniform",20,high
proto_sampler_weaksingle_over_es20_seed1,B,configs/scene31/night_grid/proto_sampler_weaksingle_over_es20_seed1.yaml,1,"sampler,weak_single_over",20,high
proto_sampler_weaksingle_over_es20_seed2,B,configs/scene31/night_grid/proto_sampler_weaksingle_over_es20_seed2.yaml,2,"sampler,weak_single_over",20,high
proto_sampler_sensingonly_over_es20_seed1,B,configs/scene31/night_grid/proto_sampler_sensingonly_over_es20_seed1.yaml,1,"sampler,sensing_only_over",20,medium
